year,(SO2),(CO),(NO2),(PM10),(PM2.5),(O3)
year,Sulfur Dioxide,Carbon Monoxide,Nitrogen Dioxide,Fine dust,Ultra-fine dust,Ozone
year,ppm / year,ppm / 8hours,ppm / year,(㎍/m3) / year,(㎍/m3) / year,ppm  / 8hours
2015,0.004,0.5,0.018,48,20,0.029
2016,0.003,0.5,0.014,47,27,0.03
2017,0.003,0.4,0.012,44,25,0.034
2018,0.003,0.3,0.013,36,19.5,0.034
2019,0.002,0.3,0.012,36,18,0.038
2020,0.002,0.4,0.012,31,14,0.036
2021,0.003,0.3,0.011,32,11.3,0.036
2022,0.002,0.3,0.01,27,13.8,0.036
Jan.,0.004,0.4,0.016,29,15,0.03
Feb.,0.003,0.4,0.012,27,16,0.041
Mar.,0.003,0.3,0.011,42,19,0.045
Apr.,0.002,0.2,0.009,39,15,0.052
May.,0.002,0.2,0.009,30,14,0.058
Jun.,0.002,0.2,0.008,21,9,0.04
Jul.,0.002,0.2,0.007,16,7,0.029
Aug.,0.002,0.2,0.009,17,11,0.028
Sept.,0.002,0.3,0.008,18,10,0.027
Oct.,0.002,0.3,0.012,22,14,0.021
Nov.,0.002,0.4,0.011,34,19,0.033
Dec.,0.003,0.5,0.01,31,17,0.032
