연  별,기    온         Air temperature(℃), Air temperature(℃), Air temperature(℃), Air temperature(℃), Air temperature(℃),강수량,상대습도(%)  Rel. Hum.,
월  별,평  균,평균최고,최고극값,평균최저,최저극값,Precipitation,평  균,최  소
Year ,,Maximum,,Minimum,,,,
Month,Mean,mean,Highest, mean,Lowest,(㎜),Mean,Minimum
2016,13.1,17.4,34.9,9.1,-15.2,"1,204.20",67,22
2017,13.9,18.3,37.1,9.3,-9.6,"1,081.90",52,7
2018,12.7,16.9,37.1,8.5,-15.9,"1,548.10",61,6
2019,13.6,17.9,34.5,9.4,-7.6,"1,569.70",60,4
2020,13.1,17.5,35.2,8.9,-11.7,"1,801.70",62,3
2021,13.1,17.5,34.1,8.8,-16.9,"1,392.40",64.8,9
2022,13.1,17.5,35.2,8.9,-11.4,"1,528.70",62,0.8
1월   Jan.,0.5,4.6,8.7,-3.5,-8.7,5.8,48,1.1
2월  Feb.,1.1,5.7,13.9,-3.7,-11.4,3.2,38,0.8
3월  Mar.,7.7,11.9,20.2,3.3,-1.4,100,59,1
4월  Apr.,14.6,19.3,29.9,9.3,1.9,65.1,53,1
5월  May.,18.5,23.7,32.7,12.9,6.6,6.5,52,1.6
6월  Jun.,21.2,25.2,34.2,17.6,11.1,168.4,76,1.6
7월  Jul. ,24.1,27.5,33.3,21.5,18.8,239.4,88,4.7
8월  Aug.,24.3,28,35.2,21,15.2,303.3,82,2.7
9월  Sept.,20,24.8,27.6,15.9,10.5,235.9,78,2.3
10월  Oct.  ,13.8,18.2,29.8,10.2,5.1,347.7,73,1.6
11월  Nov.,11.2,16.3,24.8,6.6,-3.3,53.4,57,1
12월  Dec.,0.6,5.2,11.4,-4,-10.9, -   ,39,1.2
